1,2015,Skyndu,true
2,2014,Geba,false
3,2006,Abata,true
4,2011,Shuffledrive,false
5,2014,Chatterbridge,true
6,2010,Chatterpoint,true
7,2007,Wordtune,false
8,2016,Kamba,true
9,2007,Eayo,false
10,2015,Twinder,true
11,2011,Flashpoint,true
12,2017,Topicstorm,true
13,2018,Browsecat,true
14,2011,Leenti,false
15,2014,Plajo,true
16,2013,Thoughtsphere,true
17,2006,Rhybox,true
18,2013,Minyx,true
19,2017,Devcast,false
20,2009,Roombo,false
21,2015,Wikizz,false
22,2018,Brainsphere,true
23,2011,Twitterlist,false
24,2012,Skyble,true
25,2013,Kanoodle,false
26,2011,Shuffletag,false
27,2015,Teklist,false
28,2009,Zooveo,true
29,2009,Eamia,true
30,2016,Rhynoodle,true
31,2007,Yakidoo,false
32,2016,Tambee,true
33,2013,Dabvine,false
34,2013,Youbridge,false
35,2011,Rhybox,false
36,2012,Brainverse,false
37,2008,Fiveclub,false
38,2012,Eimbee,true
39,2010,Flipstorm,true
40,2006,Tagtune,true
41,2017,Oyoba,true
42,2018,Mybuzz,false
43,2013,Zoonoodle,false
44,2006,Jabbertype,false
45,2014,Livepath,false
46,2015,Rhynoodle,true
47,2016,Jamia,false
48,2014,Quamba,true
49,2012,Trilia,true
50,2018,Trilith,true
51,2014,Camimbo,true
52,2011,Mymm,false
53,2018,Skyba,true
54,2009,Blogpad,false
55,2016,Layo,true
56,2011,Youopia,true
57,2012,Jaxworks,true
58,2009,Linkbridge,true
59,2014,Brainsphere,false
60,2007,Meezzy,false
61,2007,Fadeo,false
62,2019,Quimba,true
63,2013,Zoovu,false
64,2015,Nlounge,false
65,2014,Zazio,true
66,2018,Tanoodle,false
67,2008,Oyoloo,false
68,2010,Skiptube,true
69,2012,Kanoodle,false
70,2007,Linktype,true
71,2019,Livetube,true
72,2011,Voolith,true
73,2014,Riffpedia,true
74,2012,Zoovu,true
75,2010,Viva,false
76,2013,Brightdog,false
77,2012,Twinte,false
78,2007,Dablist,true
79,2017,Eimbee,true
80,2011,Mynte,true
81,2009,Jetpulse,false
82,2007,Wordware,false
83,2013,Browsezoom,true
84,2016,Meemm,false
85,2017,Agivu,true
86,2006,Tekfly,true
87,2012,Fivebridge,true
88,2014,Centimia,true
89,2013,Feedmix,true
90,2013,Skyndu,true
91,2012,Aimbu,false
92,2008,Bubbletube,false
93,2014,Voomm,false
94,2016,Quinu,false
95,2010,Yakitri,false
96,2019,Mudo,false
97,2010,Zava,true
98,2014,Twitterwire,false
99,2010,Eabox,true
100,2015,Realfire,true
101,2007,Skinte,true
102,2016,Bluejam,false
103,2016,Yamia,true
104,2007,Topdrive,false
105,2007,Rooxo,true
106,2013,Plajo,true
107,2006,Oloo,true
108,2009,Yata,true
109,2017,Vidoo,false
110,2010,Mybuzz,false
111,2006,Gigabox,true
112,2012,Topdrive,false
113,2008,Twitterlist,false
114,2018,Yakitri,true
115,2011,Twimm,true
116,2006,Brainsphere,true
117,2018,Realbuzz,true
118,2007,Skalith,true
119,2014,Skipfire,true
120,2010,Dynabox,false
121,2009,Eimbee,false
122,2010,Bluejam,false
123,2019,Youspan,false
124,2016,Izio,true
125,2014,Kayveo,false
126,2017,Oloo,true
127,2012,Tagcat,false
128,2017,Kazu,true
129,2012,Bubblemix,true
130,2015,Skinder,false
131,2014,Twitterbridge,true
